Title,Album,Lyrics
精霊流し,わすれもの,去年のあなたの想い出が テープレコーダーから こぼれています あなたのために お友達も 集まってくれました 二人でこさえたおそろいの 浴衣も今夜は一人で着ます せんこう花火が見えますか 空の上から 約束通りに あなたの愛した レコードも一緒に流しましょう そしてあなたの舟のあとを ついてゆきましょう 私の小さな弟が何にも知らずに はしゃぎ廻って 精霊流しが華やかに始まるのです あの頃あなたがつま弾いた ギターを私が奏いてみました いつの間にさびついた糸で くすり指を切りました あなたの愛した母さんの 今夜の着物は浅黄色 わずかの間に年老いて 寂しそうです 約束通りにあなたの嫌いな 涙は見せずに過ごしましょう そして黙って舟のあとを ついてゆきましょう 人ごみの中を縫う様に 静かに時間が通り過ぎます あなたと私の人生をかばうみたいに
もしかしたら君は空を飛ぶんじゃないかな,わすれもの,"ぼくはいつでも 君と会う度そう思うんだよ 君があんまり すてきだから 君は空を飛ぶんじゃないかな 空を飛んでぼくに逢いに来るんだ 君は空を飛ぶんじゃないかな 空を飛んでぼくに逢いに来る もしもそうなら いつの日にか 二人だけで 風にまかせて 海をわたろう 君は空を飛ぶんじゃないかな 空を飛んでぼくに逢いに来るんだ 君は空を飛ぶんじゃないかな 空を飛んでぼくに逢いに来る 
"
紫陽花の詩,わすれもの,"蛍茶屋から 鳴滝までは 中川抜けてく川端柳 他人の心を胡麻化す様に 七つおたくさ あじさい花は おらんださんの置き忘れ 思案橋から眼鏡橋 今日は寺町 廻ってゆこうか それとも中通りを抜けてゆこうか 雨が降るから久し振り 賑橋からのぞいてみようか 南山手の弁天橋を 越えて帰るは新地を抜けて 出島の屋敷は雨ばかり むらさき 夕凪 夢すだれ むらさき 夕凪 夢すだれ 
"
ひとり占い,わすれもの,今日のあなたは冷たいね 夢を何処かに置き忘れて来たね 気まずい思いだけはさせたくないから 今日は帰るよ 会ったばかりだけど お酒は飲む気になれないし テレビはいつでもつまらないし トランプゲームのひとり占いを こわしては作り作ってはこわしてみる 今日はお前の方が夢を忘れてたんだと クラブのジャックが 怒った様な笑った様な 僕はいつものミルクティー  君もいつものチョコレートパフェ 違っているのは君がうつむき加減に 他のことを考えていた 寂しい唄は好きじゃないし 楽しい唄はもっとつまらないし 四三じゅうにのカードを並べて 疲れた言葉をくずかごに捨ててみる 明日電話をすれば ハートのクインが 明日電話をすれば 待人必ず来ると 悲しい様な嬉しい様な 待人必ず来ると・・
蝉時雨,わすれもの,君の長い髪が 木洩れ陽と遊ぶよ 風に吹かれてもっと 笑ってごらんよ 僕のギターの上に 降り注ぐ蝉時雨 ケヤキの葉のうしろで ヒグラシが唄うよ 明るい夏の日は とてもいい気持 何だか君とても きれいだよ 藁葺き屋根の家 遠くに見えるよ もう一度だけ云おうか 君が好きだなんて 明るい夏の日はとてもいい気持 何だか 君とても きれいだよ 藁葺き屋根の家 遠くに見えるよ もう一度だけ云おうか 君が好きだなんて もう一度だけ 云おうか 蝉時雨の中で
春への幻想,わすれもの,いつまでも 幸せは とどまっては くれない 自然なふりしてあなたを僕から 奪い去り 突き放し 真冬がおとずれる 哀しみという 木枯しを連れて だから僕は風の中で あなたと過ごした 春の日の夢が ふたたび巡る 時を待ちつづけて ひとり 今日も 窓をあけ眺めても 真冬がきたばかり 叫んでみても 花は咲かない まして春になど だから僕は風の中で あなたと過ごした 春の日の夢が ふたたび巡る 時を待ちつづけて ひとり 今日も 窓をあけ眺めても 真冬がきたばかり 叫んでみても 花は咲かない まして春になど
雪の朝,わすれもの,表は雪が降ってる 一面の薄化粧 君はまだ眠ったままで 夢でもみてるのかしら あたりに人影は無く 街もまだ目覚める前 僕は横になったままで 煙草に火をつける 窓の外には遠く 水鳥が飛び交い 雲は低く流れて 雪は降り続く 表通りを荷馬車が通り過ぎて行く 僕が少しまどろむと もう君は起きていて ねえみてごらん雪だわと 君は幸せな人だ 曇りかけたガラスを 君はその手で拭い まるで子供みたいに 目を輝かせた またいつもの生活が始まるだけの朝なのに
魔法使いとフリージア,わすれもの,七色の花の向うで 公園のブランコで 霧が立つ日 若葉が揺れていた 誰かすてきな人が現れるような 想いにふるえていた 僕の影法師 白い車にのって フリージアの花束抱いて とびだして来た君はまるで魔法使い 白いドレスがとても 僕にはまぶしすぎて 夏の始まりの小さなふれあい 白い車にのって フリージアの花束抱いて とびだして来た君はまるで魔法使い 白いドレスがとても 僕にはまぶしすぎて 夏の始まりの小さなふれあい
告悔,わすれもの,私は心のままに 生きて来た そしてその為に 人を傷つけて来た 私は嘘をつかずに 生きて来た けれどその度に私も傷ついて来た 人はそれも知らずに 私をそしり続ける 心のままに 生きてゆくのは いけない事でしょうか 私はあなたの為に生きて来た そしてその為に人を傷つけて来た 人はそれも知らずに 私をそしり続ける 心のままに 生きてゆくのは いけない事でしょうか 私はあなたの為に生きて来た そしてその為に人を傷つけて来た 
哀しみの白い影,わすれもの,僕の影の隣りに もういないはずの君の 白い影が こしかけて ゆらり ゆらり ゆらり それは心変わりで 互いのせいではないと つまりは若すぎたんだ ふたり ふたり ふたり 初めが間違っていた君と出逢う所から だから 今日の日が来て ひとり ひとり ひとり 僕と君の想い出の すべてを嘲笑う様に 哀しみの白い影だけが ゆらり ゆらり ゆらり 哀しみの白い影だけが ゆらり ゆらり ゆらり 
